isco88_1digit;isco88_1digit_label;isco88_2digit;isco88_2digit_label;isco88_3digit;isco88_3digit_label;isco88_4digit;isco88_4digit_label
3;Technicians and Associate Professionals;34;Other Associate Professionals;342;BUSINESS SERVICES AGENTS AND TRADE BROKERS ;3421;Trade brokers
3;Technicians and Associate Professionals;34;Other Associate Professionals;342;BUSINESS SERVICES AGENTS AND TRADE BROKERS ;3422;Clearing and forwarding agents
3;Technicians and Associate Professionals;34;Other Associate Professionals;342;BUSINESS SERVICES AGENTS AND TRADE BROKERS ;3423;Employment agents and labour contractors
3;Technicians and Associate Professionals;34;Other Associate Professionals;342;BUSINESS SERVICES AGENTS AND TRADE BROKERS ;3429;Business services agents and trade brokers not elsewhere classified
3;Technicians and Associate Professionals;34;Other Associate Professionals;343;ADMINISTRATIVE ASSOCIATE PROFESSIONALS ;3431;Administrative secretaries and related associate professionals
3;Technicians and Associate Professionals;34;Other Associate Professionals;343;ADMINISTRATIVE ASSOCIATE PROFESSIONALS ;3432;Legal and related business associate professionals
3;Technicians and Associate Professionals;34;Other Associate Professionals;343;ADMINISTRATIVE ASSOCIATE PROFESSIONALS ;3433;Bookkeepers
3;Technicians and Associate Professionals;34;Other Associate Professionals;343;ADMINISTRATIVE ASSOCIATE PROFESSIONALS ;3434;Statistical, mathematical and related associate professionals
3;Technicians and Associate Professionals;34;Other Associate Professionals;343;ADMINISTRATIVE ASSOCIATE PROFESSIONALS ;3439;Administrative associate professionals not elsewhere classified
3;Technicians and Associate Professionals;34;Other Associate Professionals;344;CUSTOMS, TAX AND RELATED GOVERNMENT ASSOCIATE PROFESSIONALS ;3441;Customs and border inspectors
3;Technicians and Associate Professionals;34;Other Associate Professionals;344;CUSTOMS, TAX AND RELATED GOVERNMENT ASSOCIATE PROFESSIONALS ;3442;Government tax and excise officials
3;Technicians and Associate Professionals;34;Other Associate Professionals;344;CUSTOMS, TAX AND RELATED GOVERNMENT ASSOCIATE PROFESSIONALS ;3443;Government social benefits officials
3;Technicians and Associate Professionals;34;Other Associate Professionals;344;CUSTOMS, TAX AND RELATED GOVERNMENT ASSOCIATE PROFESSIONALS ;3444;Government licensing officials
3;Technicians and Associate Professionals;34;Other Associate Professionals;344;CUSTOMS, TAX AND RELATED GOVERNMENT ASSOCIATE PROFESSIONALS ;3449;Customs, tax and related government associate professionals not elsewhere classified
3;Technicians and Associate Professionals;34;Other Associate Professionals;345;POLICE INSPECTORS AND DETECTIVES ;3450;Police inspectors and detectives
3;Technicians and Associate Professionals;34;Other Associate Professionals;346;SOCIAL WORK ASSOCIATE PROFESSIONALS ;3460;Social work associate professionals
3;Technicians and Associate Professionals;34;Other Associate Professionals;347;ARTISTIC, ENTERTAINMENT AND SPORTS ASSOCIATE PROFESSIONALS ;3471;Decorators and commercial designers
3;Technicians and Associate Professionals;34;Other Associate Professionals;347;ARTISTIC, ENTERTAINMENT AND SPORTS ASSOCIATE PROFESSIONALS ;3472;Radio, television and other announcers
3;Technicians and Associate Professionals;34;Other Associate Professionals;347;ARTISTIC, ENTERTAINMENT AND SPORTS ASSOCIATE PROFESSIONALS ;3473;Street, night-club and related musicians, singers and dancers
3;Technicians and Associate Professionals;34;Other Associate Professionals;347;ARTISTIC, ENTERTAINMENT AND SPORTS ASSOCIATE PROFESSIONALS ;3474;Clowns, magicians, acrobats and related associate professionals
3;Technicians and Associate Professionals;34;Other Associate Professionals;347;ARTISTIC, ENTERTAINMENT AND SPORTS ASSOCIATE PROFESSIONALS ;3475;Athletes, sportspersons and related associate professionals
3;Technicians and Associate Professionals;34;Other Associate Professionals;348;RELIGIOUS ASSOCIATE PROFESSIONALS ;3480;Religious associate professionals
